Permalink BSG	Kurztitel
http://permalink.snl.ch/bib/chbsg000137294	Bluntschli 1834a
http://permalink.snl.ch/bib/chbsg000137289	Bluntschli 1835
http://permalink.snl.ch/bib/chbsg000138437	Bluntschli 1838-1839
http://permalink.snl.ch/bib/chbsg000137351	Bluntschli 1848
http://permalink.snl.ch/bib/chbsg000138438	Bluntschli 1856
http://permalink.snl.ch/bib/chbsg000141147	Boari 1992
http://permalink.snl.ch/bib/chbsg000052646	Bock 2009
http://permalink.snl.ch/bib/chbsg000142466	BOCL
http://permalink.snl.ch/bib/chbsg000089165	Bodmer 1996
http://permalink.snl.ch/bib/chbsg000136694	Boesch 1955
http://permalink.snl.ch/bib/chbsg000136705	Boesch 1958
http://permalink.snl.ch/bib/chbsg000138444	Bollier 1949
http://permalink.snl.ch/bib/chbsg000135494	Bollinger 1941
http://permalink.snl.ch/bib/chbsg000135632	Bollinger 1945
http://permalink.snl.ch/bib/chbsg000096368	Bollinger 1983
http://permalink.snl.ch/bib/chbsg000074995	Bollinger 1992
http://permalink.snl.ch/bib/chbsg000142264	Borel 1898
http://permalink.snl.ch/bib/chbsg000151416	Bosshard 1998
http://permalink.snl.ch/bib/chbsg000151401	Bosshard 2006
http://permalink.snl.ch/bib/chbsg000138447	Bosshart 1910
http://permalink.snl.ch/bib/chbsg000135639	Bosshart, Chronik
http://permalink.snl.ch/bib/chbsg000051941	Bosson 2009
http://permalink.snl.ch/bib/chbsg000150995	Bötschi-Mauz 2007
http://permalink.snl.ch/bib/chbsg000118197	Boxler 2008
http://permalink.snl.ch/bib/chbsg000142485	Boyve 1786
http://permalink.snl.ch/bib/chbsg000142488	Boyve 1791
http://permalink.snl.ch/bib/chbsg000142327	Boyve 1854-1861
http://permalink.snl.ch/bib/chbsg000078008	Brändli 1990
http://permalink.snl.ch/bib/chbsg000020381	Brändli 2000
http://permalink.snl.ch/bib/chbsg000136859	Brändli 2001
http://permalink.snl.ch/bib/chbsg000142633	Branger 1905
http://permalink.snl.ch/bib/chbsg000151037	Braun 1960
http://permalink.snl.ch/bib/chbsg000065675	Braun 1984
http://permalink.snl.ch/bib/chbsg000151396	Brecht 1976
http://permalink.snl.ch/bib/chbsg000151397	Brendecke 2015
http://permalink.snl.ch/bib/chbsg000137626	Brennwald, Schweizerchronik
http://permalink.snl.ch/bib/chbsg000137354	Bretscher 1910
http://permalink.snl.ch/bib/chbsg000143816	Brill 1960
http://permalink.snl.ch/bib/chbsg000129537	Brühlmeier 2013
http://permalink.snl.ch/bib/chbsg000045674	Brühlmeier/Frei 2005
http://permalink.snl.ch/bib/chbsg000138317	Brunner 1909
http://permalink.snl.ch/bib/chbsg000138245	Brunner 1949
http://permalink.snl.ch/bib/chbsg000055330	Brunner et al. 2008
http://permalink.snl.ch/bib/chbsg000046603	Brunschwig-Ségal 1998
http://permalink.snl.ch/bib/chbsg000137283	Brunschwig-Ségal 2001
http://permalink.snl.ch/bib/chbsg000049552	Brupbacher 2001
http://permalink.snl.ch/bib/chbsg000039393	Brupbacher 2003
http://permalink.snl.ch/bib/chbsg000038752	Brupbacher 2004
